Bezeichnung / Feldgeräte,Beschreibung
QFA4160,Raumfühler Temp./Feuchte 2x0…10V zerti.
QFA4160D,Raumfü. Temp/Feucht 2x0…10V zert/Display
QFA4171,Raumfühler Temp./Feuchte 2x4…20mA zerti
QFA4171D,"Raumfü Temp/Feucht 2x4…20mA zerti,Displa"
QFM2100,Kanalfühler Feuchte 0…10V
QFM2101,Kanalfühler Feuchte 4…20mA
QFM2120,Kanalfühler Temp. LG-Ni/Feuchte 0…10V
QFM2160,Kanalfühler Temp./Feuchte 2x0…10V
QFM2171,Kanalfühler Temp./Feuchte 2x4…20mA
QFM3100,"Kanalfühler Feuchte 0…10V, IP65"
QFM3101,"Kanalfühler Feuchte 4…20mA, IP65"
QFM3160,Kanalfühler Temp./Feuchte 2x0…10V
QFM3160D,"Kanalfühler Temp/Feuchte 2x0…10V,Display"
QFM3171,Kanalfühler Temp./Feuchte 2x4…20mA
QFM3171D,"Kanalfühler Temp/Feucht 2x4…20mA,Display"
QFM4160,Kanalfühler Temp./Feuchte 2x0…10V zerti
QFM4171,Kanalfühler Temp/Feuchte 2x4…20mA zerti
QFM81.2,"Kanalhygrostat, IP30"
QFM81.21,"Kanalhygrostat, IP55"
QLS60,"Sonnenfühler 0…1000W/m2, 0…10V"
QMX2.P33,Raumbediengerät für KNX PL-Link
QMX2.P43,"Raumbediengerät PL-Link, Temp., Feuchte"
QMX3.MP1,Montagplatte für QMX3.P
QMX3.MP1,Montagplatte für QMX3.P
QMX3.P02,"Raumbediengerät KNX, konfig.Touchkeys"
QMX3.P02,"Raumbediengerät KNX, konfig.Touchkeys"
QMX3.P02,"Raumbediengerät KNX, konfig.Touchkeys"
QMX3.P02-1BSC,"Raumbediengerät KNX, konfig.Touchkeys"
QMX3.P02-1BSC,"Raumbediengerät KNX, konfig.Touchkeys"
QMX3.P02-1BSC,"Raumbediengerät KNX, konfig.Touchkeys"
QMX3.P30,"Raumfühler KNX, Temperatur"
QMX3.P30,"Raumfühler KNX, Temperatur"
QMX3.P30-1BSC,"QMX3.P30-1BSC Raumfühler, schwarz"
QMX3.P30-1BSC,"QMX3.P30-1BSC Raumfühler, schwarz"
QMX3.P34,"Raumbediengerät mit KNX,Display,Temp."
QMX3.P34,"Raumbediengerät mit KNX,Display,Temp."
QMX3.P34,"Raumbediengerät mit KNX,Display,Temp."
QMX3.P34-1BSC,"Raumbediengerät mit KNX,Display,Temp."
QMX3.P34-1BSC,"Raumbediengerät mit KNX,Display,Temp."
QMX3.P34-1BSC,"Raumbediengerät mit KNX,Display,Temp."
QMX3.P36F,Raumbediengerät für Unterputzmontage
QMX3.P36F/CH,Raumbediengerät (EDIZIOdue)
QMX3.P36F/PRESTIGE,Raumbediengerät (DELTA miro)
QMX3.P37,"Raumbediengerät KNX, Display, Touchkeys"
QMX3.P37,"Raumbediengerät KNX, Display, Touchkeys"
QMX3.P37,"Raumbediengerät KNX, Display, Touchkeys"
QMX3.P37-1BSC,"Raumbediengerät KNX, Display, Touchkeys"
QMX3.P37-1BSC,"Raumbediengerät KNX, Display, Touchkeys"
QMX3.P37-1BSC,"Raumbediengerät KNX, Display, Touchkeys"
QMX3.P40,Raumfühler mit KNX für Temperatur und Fe
QMX3.P40,Raumfühler mit KNX für Temperatur und Fe
QMX3.P40-1BSC,"QMX3.P40-1BSC Raumfühler, schwarz"
QMX3.P40-1BSC,"QMX3.P40-1BSC Raumfühler, schwarz"
QMX3.P70,"Raumfühler KNX, Temp., Feuchtigkeit, CO2"
QMX3.P70,"Raumfühler KNX, Temp., Feuchtigkeit, CO2"
QMX3.P70-1BSC,"QMX3.P70-1BSC Raumfühler, schwarz"
QMX3.P70-1BSC,"QMX3.P70-1BSC Raumfühler, schwarz"
QMX3.P74,"Raumbediengerät KNX, Temp., Feuchte, CO2"
QMX3.P74,"Raumbediengerät KNX, Temp., Feuchte, CO2"
QMX3.P74,"Raumbediengerät KNX, Temp., Feuchte, CO2"
QMX3.P74-1BSC,"Raumbediengerät KNX, Temp., Feuchte, CO2"
QMX3.P74-1BSC,"Raumbediengerät KNX, Temp., Feuchte, CO2"
QMX3.P74-1BSC,"Raumbediengerät KNX, Temp., Feuchte, CO2"
QMX3.P87-1WSC,Bediengerätanzeige - Aufputz
QMX3.P88-1WSC,Bediengerätanzeige - Schmal & Unterputz
QMX7.E38,"Touch-Raumbediengerät 4,3"""
QPA1004,QPA1004 Luftqualitätsfühler CO2
QPA1064,QPA1064 Luftqualitätsfühler CO2 Temp.
QPA2000,Raum-Luftqualitätsfühler CO2
QPA2000POS,Luftqualitätsdisplay CO2
QPA2002,Raum-Luftqualitätsfühler CO2/VOC
QPA2002D,"Raum-Luftqualitätsfühler CO2/VOC,Display"
QPA2060,Raum-Luftqualitätsfühler CO2/Temp.
QPA2060D,"Raum-Luftqualitätsfühl CO2/Temp,Display"
QPA2062,Raum-Luftqualitätsfühler CO2/Temp/Feucht
QPA2062D,"RaumLuftqualitätsfühl CO2/Temp/Feuch,LCD"
QPA2080,Raumfühler CO2/Temp. Passiv
QPM1104,QPM1104 Kanal-Luftqualitätsfühler CO2
QPM1164,QPM1164 Kanal-Luftqualitätsfühler CO2/T
QPM2100,Kanal-Luftqualitätsfühler CO2
QPM2102,Kanal-Luftqualitätsfühler CO2/VOC
QPM2160,KanalLuftqualitätsfühler CO2/Temp.
QPM2160D,"Kanalqualitätsfühler CO2/ Temp, Display"
QPM2162,Kanalqualitätsfühler CO2/Temp/Feuchte
QPM2162D,"Kanalqualitätsfühler CO2/Temp/Feucht,LCD"
QSA2700,"Feinstaubfühler, PM2.5/ PM10"
QSA2700D,"Feinstaubfühler mit LCD, PM2.5/ PM10"
QVE1900,"Strömungswächter für Wasser, DN32..200"
QVE1901,"Strömungswächter für Wasser, DN20..200"
QVE1902.010,Strömungswächter / DN10
QVE1902.015,Strömungswächter / DN15
QVE1902.020,Strömungswächter / DN20
QVE1902.025,Strömungswächter / DN25
QVE2000.010,Strömungsfühler / 0…10 V / DN10/ PVC
QVE2000.015,Strömungsfühler / 0…10 V / DN15/ PVC
QVE2000.020,Strömungsfühler / 0…10 V / DN20/ PVC
QVE2000.025,Strömungsfühler / 0…10 V / DN25/ PVC
QVE2100.010,Strömungsfühler / 4…20 mA / DN10/ PVC
QVE2100.015,Strömungsfühler / 4…20 mA / DN15/ PVC
QVE2100.020,Strömungsfühler / 4…20 mA / DN20/ PVC
QVE2100.025,Strömungsfühler / 4…20 mA / DN25/ PVC
QVE3000.010,Strömungsfühler / 0…10 V / DN10
QVE3000.015,Strömungsfühler / 0…10 V / DN15
QVE3000.020,Strömungsfühler / 0…10 V / DN20
QVE3000.025,Strömungsfühler / 0…10 V / DN25
QVE3001,Strömungsfühler
QVE3100.010,Strömungsfühler / 4…20 mA / DN10
QVE3100.015,Strömungsfühler / 4…20 mA / DN15
QVE3100.020,Strömungsfühler / 4…20 mA / DN20
QVE3100.025,Strömungsfühler / 4…20 mA / DN25
QVM62.1,Luftgeschwindigkeitsfühler 0…10V
QXA2100,"Kondensationswächter, 24V Fühler intern"
QXA2101,"Kondenswächter, 24V  Fühler abgesetzt"
R509880,"19"" Patchpanel 16xRJ45/s, Cat.6A"
RAA11,"Raumthermostat, H od. K, Behördenmodell"
RAA21,"Raumthermostat, H od. K"
RAA31,"Raumtherm., H od. K, Schalter EIN/AUS"
RAA41,"Raumtherm., H od. K, Schalter H/AUS/K"
RAB11,"Raumthermostat, H od. K, Stufenschalter"
RAB21,"Raumthermostat, H od. K, Stufenschalter"
RAB31,"Raumthermostat, 4 Rohr, Wahlschalter"
RAK-H-M,Anschlussgehäuse  Kabelfühler
RAK-H-M,Anschlussgehäuse  Kabelfühler
RAK-ST.010FP-M,"Sicherh.-Temperaturbegr.95°C,10(2.5)A"
RAK-ST.030FP-M,"Sicherh.-Temperaturbegr.110°C,10(2.5)A"
RAK-ST.1300P-M,Sicherheitstemperaturbegr. 110..130°C
RAK-ST.1310P-M,Sicherheitstemperaturbegr. 90..110°C
RAK-ST.1385M,Sicherheitstemperaturbegrenzer 40..70°C
RAK-TB.1400S-M,"Temperaturbegrenzer 45..60°C,10(2.5)A"
RAK-TB.1410B-M,"Temperaturbegr. 50..70°C,10(2.5)A Schutz"
RAK-TB.1420S-M,"Temperaturbegrenzer 65..80°C,10(2.5)A"
RAK-TR.1000B-H,"Temperaturregler 15..95ºC, Schutzrohr"
RAK-TR.1000S-H,"Temperaturregler 15..95ºC,10(2.5)A"
RAK-TW.1000HB,"Temperaturwächter 15..95ºC,10(2.5)A IP65"
RAK-TW.1000S-H,"Temperaturwächter 15..95ºC,10(2.5)A"
RAK-TW.1200S-H,"Temperaturwächter 40..120ºC,10(2.5)A"
RAK-TW.5000S-H,"Frostschutzwächter 5..65ºC,10(2.5)A"
RAK-TW.5010S-H,Frostschutzwächter -10..50°C
RAV11.1,"Raumthermostat,T-Uhr, analog, Bat, 2Pkt."
RAZ-ST.1500P-J,"Doppelthermostat, TR 15..95°C/STB 110..130°C"
RAZ-ST.1510P-J,"Doppelthermostat, TR 15...95°C/STB 90..110°C"
RAZ-TW.1200P-J,"Doppelthermostat, TR 40..120°C/TW 40..120°C"
RCC10,Raumtemperaturregler 2-Rohr
RCU10,Raumthermostat 4-Rohr
RDE100,"Raumthermostat mit Anzeige, Schaltuhr"
RDE100.1,"Raumthermostat mit Anzeige,Schaltuhr"
RDE100.1RF,"Raumthermostat mit Uhr, drahtlos"
RDE100.1RFS,"Raumthermostat mit Uhr, drahtlos Set"
RDE410/EH,Raumthermostat für Fussbodenheizung
RDE-MZ6,Multizone Empfänger AC 230V
RDF600,RDF600 Raumthermostat mit Anzeige
RDF600KN,Raumthermostat mit Anzeige KNX
RDF600T,"RDF600T Raumthermostat mit Anzeige, Uhr"
RDF800KN,"Touchscreen Raumthermostat für UP, KNX"
RDG100,Raumthermostat mit Anzeige
RDG100KN,Elektronischer Raumtemperaturregler KNX
RDG100KN,Elektronischer Raumtemperaturregler KNX
RDG100T,"Raumthermostat mit Anzeige, Uhr und IR"
RDG160KN,"KNX Raumthermostat für Fankoil, Wärmepp."
RDG160KN,"KNX Raumthermostat für Fankoil, Wärmepp."
RDG160T,Raumthermostat mit Wochenschaltuhr 0-10V
RDG165KN,KNX Raumthermostat für Temp. + Feuchte.
RDG165KN,KNX Raumthermostat für Temp. + Feuchte.
RDG400,"Raumthermostat VVS, Heizen und Kühlen"
RDG405KN,"Raumthermostat KNX,VVS H/K  und CO2"
RDG405KN,"Raumthermostat KNX,VVS H/K  und CO2"
RDS110,Smart Thermostat RDS110
REIR170268,"RJ45-Adapter LON FT-10 / TP-1250, besteh"
REIR30315,Rangierführungswanne f.horiz.Führung
RELKBA1,ANALOGWERTGEBER
RELKBD1,KOPPELBAUSTEIN 1-KANAL
RELKBD2,KOPPELBAUSTEIN 2-KANAL
RELKBZ2,KOPPELBAUSTEIN 2-STUFIG
REV13DC,"Raumthermostat,T-uhr,dig,Bat,2-Pkt"
REV24DC,"Raumthermostat,W-uhr,dig,Bat,2-Pkt"
REV24RFDC/SET,Elektronischer Raumtemperaturregler Set
REV34-XA,"Raumthermostat 3-Punkt, Wochenuhr o. Fun"
RLA162,"Raumtemperaturregler, AC24V, 2 AO 0..10V"
RLE132,"Tauchtemperaturregler, 3-Punkt"
RLE162,Tauchtemperaturregler
RLJ:MBMR004CSIEMEN,M-Bus Pegelwandler für 60 Geräte
RLJ:MBMR004CSIEMEN,M-Bus Pegelwandler für 60 Geräte
RLJ:MBMR004DL,"M-Bus-Zentrale, 60 Zähler m. Datenlogger"
RLJ:MBMR004FA,M-Bus-Zentrale für 60 Zähler
RLJ:MBMR005,M-Bus-Zentrale für 3 Zähler
RLJ:MBMR006DL,"M-Bus-Zentrale, 20 Zähler m. Datenlogger"
RLJ:MBMR006FA,M-Bus-Zentrale für 20 Zähler
RLJ:MBMR006IR,M-Bus Pegelwandler für 20 Geräte
RLJ:MBPW250,"M-BUS PEGELWANDLER, 250 GERÄT"
RLJ:MBPW250,"M-BUS PEGELWANDLER, 250 GERÄT"
RLJ:MBWEBLOG250,M-Bus-Zentrale/Webserver für 250 Geräte
RLM162,Luftkanaltemperaturregler
RLU202,"Universalregler, 1 Rk, 4 UI,2 DO"
RLU220,"Universalregler, 1 Rk, 3 UI, 2 AO"
RLU222,"Universalregler, 2 Rk, 4 UI, 2 AO, 2 DO"
RLU232,"Universalregler, 2 Rk, 5 UI, 3 AO, 2 DO"
RLU236,"Universalregler, 2 Rk, 5 UI, 3 AO, 6 DO"
RMB795B-1,Steuerzentrale für Raumkontroller
RMH760B-1,"Modularer Heizungsregler, de, fr, it"
RMH760B-1,"Modularer Heizungsregler, de, fr, it"
RMK770-1,Kesselfolgeregler
RMK770-1,Kesselfolgeregler
RMS705B-1,Steuerungs- und Überwachunsgsgerät
RMS705B-1,Steuerungs- und Überwachunsgsgerät
RMU710B-1,"Modularer Universalregler, de, fr, it"
RMU710B-1,"Modularer Universalregler, de, fr, it"
RMU720B-1,"Modularer Universalregler, de, fr, it"
RMU720B-1,"Modularer Universalregler, de, fr, it"
RMU730B-1,"Modularer Universalregler, de, fr, it"
RMU730B-1,"Modularer Universalregler, de, fr, it"
RMZ780,Modulverbinder
RMZ780,Modulverbinder
RMZ780,Modulverbinder
RMZ782B,Heizkreis-Erweiterungsmodul
RMZ783B,Brauchwasser-Erweiterungsmodul
RMZ785,"Erweiterungsmodul, 8 UI"
RMZ785,"Erweiterungsmodul, 8 UI"
RMZ785,"Erweiterungsmodul, 8 UI"
RMZ787,"Erweiterungsmodul, 4 UI, 4 DO"
RMZ787,"Erweiterungsmodul, 4 UI, 4 DO"
RMZ787,"Erweiterungsmodul, 4 UI, 4 DO"
RMZ787,"Erweiterungsmodul, 4 UI, 4 DO"
RMZ788,"Erweiterungsmodul, 4 UI, 2 AO, 2 DO"
RMZ788,"Erweiterungsmodul, 4 UI, 2 AO, 2 DO"
RMZ789,"Erweiterungsmodul, 6 UI, 2 AO, 2 DO"
RMZ789,"Erweiterungsmodul, 6 UI, 2 AO, 2 DO"
RMZ790,Aufsetzbares Bediengerät
RMZ790,Aufsetzbares Bediengerät
RMZ790,Aufsetzbares Bediengerät
RMZ791,"Abgesetztes Bediengerät, 3 m Kabel"
RMZ791,"Abgesetztes Bediengerät, 3 m Kabel"
RMZ791,"Abgesetztes Bediengerät, 3 m Kabel"
RMZ792,Bus-Bediengerät Synco
RMZ792,Bus-Bediengerät Synco
ROT21.15.0161,Patch-Kabel STP 5m  (Kupfer rot)
ROT21.15.9901,Patchkabel Glasfaser SC-SC 50um/125um;1m
ROT21.15.9903,Patchkabel Glasfaser SC-SC 50um/125um;3m
ROT21.99.0710,"Patchkabel RJ45 Kat.6 S/FTP 10m, grau"
ROT21.99.1264,"Patchkabel RJ45 Kat.6 S/FTP 5m, blau"
ROUTER-ADSL-A,ADSL-Router Zyxel Prestige 660HN+Filter
ROUTER-ADSL-I,ADSL Router ISDN Zyx.Prest.660H-I
RRV912,"Heizkreisregler, bis 2 Heizkreise"
RRV918,"Heizkreisregler, bis 8 Heizkreise"
RRV924-10,Konvert. Ventilation 3-Stufen auf 0-10 V
RRV934,Multikontroller
RTN51,Heizkörperthermostat
RTN71,Heizkörperthermostat mit Fernfühler
RTN81,Heizkörperthermostat mit Fernversteller
RVD250-A,Fernheizungsregler für 1 Heizkreise
RVD260-A,Fernheizungsregler für 2 Heizkreise
RVL479,Heizungsregler slave 1 Heizkreise
RVL480,Heizungsregler für 1 Heizkreise
RVL481,Heizungsregler mit Kesseltemperaturreg.
RVL482,Heizungsregler modul./2-stufige Brenner
RVP201.0,Heizungsregler ohne Schaltuhr
RVP201.1.,"Heizungsregler, analoger Tagesschaltur"
RVP211.0,"Heizungsregl ohne Schaltuhr,Brauchwasser"
RVP211.1.,"Heizungsreg anal. Schaltuhr,Brauchwasser"
RVP340,Heizungsregler für 1 Heizkreis
RVP350,Heizungsregler 1 Heizkreis/ Brauchwasser
RVP360,Heizungsregler 2 Heizkreis/ Brauchwasser
RVP361,"Heizungsreg 2 Heizkr/Brauchwas,ohne Komm"
RXB21.1/FC-10,KNX Raum-Controller für 3 stuf.Fan-Co
RXB21.1/FC-10,KNX Raum-Controller für 3 stuf.Fan-Co
RXB21.1/FC-11,KNX Raum-Controller für 3 stuf.Fan-Co
RXB21.1/FC-11,KNX Raum-Controller für 3 stuf.Fan-Co
RXB22.1/FC-12,KNX Raum-Controller für Vent.+E.Lufterw.
RXB22.1/FC-12,KNX Raum-Controller für Vent.+E.Lufterw.
RXB24.1/CC-02,KNX Raum-Controller für Kühld. und Rad.
RXB24.1/CC-02,KNX Raum-Controller für Kühld. und Rad.
RXB39.1/FC-13,KNX Raum-Controller für EC.Fan-Co
RXB39.1/FC-13,KNX Raum-Controller für EC.Fan-Co
RXM21.1,I/O-Block für PL-Link
RXM21.1/BOX.W,Wielandbox CH Standard RXM21.1
RXM39.1,I/O-Block für PL-Link
RXM39.1/BOX.W,Wielandbox CH Standard RXM39.1
RXT20.1,Service-Tool mit LCD-Display
RXZ01.1,LON Busabschluss 52.3 Ohm
RXZ02.1,LON Busabschluss 105 Ohm
RXZ10.1,Kabelset
RXZ20.1,"Paar Klemmenabdeckung RXB,RXL,RXC2.."
RXZ20.1,"Paar Klemmenabdeckung RXB,RXL,RXC2.."
RXZ30.1,"Paar Klemmenabdeckung RXC3..,RXB39.1"
RXZ30.1,"Paar Klemmenabdeckung RXC3..,RXB39.1"
S7 REDCONNECT,S7 REDCONNECT
S7 REDCONNECT VM,S7 REDCONNECT VM
S7-POET,Desigo S7 Export Too
SAL31.00T10,"Drehantrieb 10Nm,90°,230V, 3Pkt, 120s"
SAL31.00T10,"Drehantrieb 10Nm,90°,230V, 3Pkt, 120s"
SAL31.00T20,"Drehantrieb 20Nm,90°,230V, 3Pkt, 120s"
SAL31.00T40,"Drehantrieb 40Nm, 90°,230V, 3Pkt, 120s"
SAL31.03T10,"Drehantrieb 10Nm,90°,230V, 3Pkt, 30s"
SAL31.03T10,"Drehantrieb 10Nm,90°,230V, 3Pkt, 30s"
SAL61.00T10,"Drehantrieb 10Nm, 90°, 24V,0-10V,120s"
SAL61.00T10,"Drehantrieb 10Nm, 90°, 24V,0-10V,120s"
SAL61.00T20,"Drehantrieb 20Nm, 90°, 24V,0-10V,120s"
SAL61.00T40,"Drehantrieb 40Nm, 90°, 24V,0-10V,120s"
SAL61.03T10,"Drehantrieb 10Nm, 90°, 24V,0-10V,30s"
SAL61.03T10,"Drehantrieb 10Nm, 90°, 24V,0-10V,30s"
SAL81.00T10,"Drehantrieb 10Nm, 90°, 24V, 3Pkt, 120s"
SAL81.00T10,"Drehantrieb 10Nm, 90°, 24V, 3Pkt, 120s"
SAL81.00T20,"Drehantrieb 20Nm, 90°, 24V, 3Pkt, 120s"
SAL81.00T40,"Drehantrieb 40Nm, 90°, 24V, 3Pkt, 120s"
SAL81.03T10,"Drehantrieb 10Nm, 90°, 24V, 3Pkt, 30s"
SAL81.03T10,"Drehantrieb 10Nm, 90°, 24V, 3Pkt, 30s"
SAS31.00,"Stellantrieb 400N,AC230V,3P,120s"
SAS31.03,"Stellantrieb 400N,AC230V,3P,30s"
SAS31.50,"Stellantrieb 400N,AC230V,3P,SR,120/28s"
SAS31.53,"Stellantrieb 400N,AC230V,3P,SR,30/14s"
SAS61.03,"Stellantrieb 400N,ACDC24V,0-10V,30s"
SAS61.03/MO,"Stellantrieb 400N,ACDC 24V,ModbusRTU,30s"
SAS61.33,"Stellantrieb 400N,ACDC24V,0-10V,SR,U,30/"
SAS61.53,"Stellantrieb 400N,ACDC24V,0-10V,SR,30/14"
SAS81.00,"Stellantrieb 400N,ACDC24V,3P,120s"
SAS81.03,"Stellantrieb 400N,ACDC24V,3P,30s"
SAS81.33,"Stellantrieb 400N,ACDC24V,3P,SR,U,30/14s"
SAV31.00,"Stellantrieb 1600N, 230V, 3P, 40 mm"
SAV31P00,"Stellantrieb 1100N zu VPF, 230V, 3P"
SAV61.00,"Stellantrieb 1600N,ACDC 24V,0-10V,40 mm"
SAV61P00,"Stellantrieb 1100N zu VPF,ACDC24V,0-10V"
SAV81.00,"Stellantrieb 1600N, ACDC 24V, 3P, 40 mm"
SAV81P00,"Stellantrieb 1100N zu VPF, ACDC 24V, 3P"
SAX31.00,"Stellantrieb 800N, AC 230V, 3P"
SAX31.03,"Stellantrieb 800N, AC 230V, 3P, 35s"
SAX31P03,"Stellantrieb 800N zu VPF, AC 230V, 3P"
SAX61.03,"Stellantrieb 800N, ACDC 24V, 0-10V"
SAX61.03/MO,"Stellantrieb 800N, ACDC 24V,Modbus RTU"
SAX61P03,"Stellantrieb 800N zu VPF, ACDC 24V,0-10V"
SAX81.00,"Stellantrieb 800N, ACDC 24V, 3P"
SAX81.03,"Stellantrieb 800N, ACDC 24V, 3P, 35s"
SAX81P03,"Stellantrieb 800N zu VPF,ACDC24V, 3P"
SAY31P03,"Stellantrieb 200N,230V,3P,30s"
SAY61P03,"Stellantrieb 200N,ACDC24V,0-10V,30s"
SAY81P03,"Stellantrieb 200N,ACDC24V,3P,30s"
SBR-MOXA UC-8112-L,SBR-MOXA UC-8112-LX
SCHILDER,Bezeichnungsschilder
SCR-LCD19P,"19"" LCD TFT Monitor / B19-6,"
SDHC-KARTE PRO 32G,SDHC-KARTE PRO 32GB
SEA45.1,"Stromventil, 0.5VA"
SEH62.1,Digitale Wochen-/Tagesschaltuhr 1-Kanal
SEM61.4,"Signalkonverter, 0…10V, 1VA"
SEM62.1,"Transformator 30VA, 24V"
SEM62.2,Transformator 30VA 24V mit Schalter
SERVER WUT USB-TCP,SERVER WUT USB-TCP/IP
SEZ220,Multifunktionaler Signalwandler
SEZ220,Multifunktionaler Signalwandler
SEZ31.1,Stellzeitmodul 30-180s für SQL36E
SEZ91.6,"Signalkonverter, 0…20VPhs, 0…10V"
SEZ91.6,"Signalkonverter, 0…20VPhs, 0…10V"
SEZ91.6,"Signalkonverter, 0…20VPhs, 0…10V"
SFA21/18,"Stellantrieb zu V..I46.., AC230V, 2P"
SFA71/18,"Stellantrieb zu V..I46.., AC24V, 2P"
SFP-1FEMLC-T,1-port fast Ethernet SFP modules
SFP-1GSXLC,1G-port Gigabit Ethernet SFP modules
SFP21/18,"Stellantrieb zu V..P47.., AC230V, 2P"
SFP71/18,"Stellantrieb zu V..P47.., AC24V, 2P"
SKB32.50,"Stellantrieb 2800N, 230V, 3P"
SKB32.51,"Stellantrieb 2800N, 230V, 3P,NS"
SKB60,"Stellantrieb 2800N, AC24V,0-10V"
SKB62,"Stellantrieb 2800N, AC24V,0-10V,NS"
SKB62UA,"Stellantrieb 2800N, AC24V,0-10V,NS,UL"
SKC32.60,"Stellantrieb 2800N, 230V, 3P"
SKC32.61,"Stellantrieb 2800N, 230V, 3P,NS"
SKC60,"Stellantrieb 2800N, AC24V,0-10V"
SKC62,"Stellantrieb 2800N, AC24V,0-10V,NS"
SKC62UA,"Stellantrieb 2800N, AC24V,0-10V,NS,UL"
SKD32.21,"Stellantrieb 1000N, 230V, 3P,30s"
SKD32.50,"Stellantrieb 1000N, 230V, 3P"
SKD32.51,"Stellantrieb 1000N, 230V, 3P,NS"
SKD60,"Stellantrieb 1000N, AC24V,0-10V"
SKD62,"Stellantrieb 1000N, AC24V,0-10V,NS"
SKD62UA,"Stellantrieb 1000N, AC24V,0-10V,NS,UL"
SQK34.00,"Drehantrieb 5N, 230V, 3Pkt"
SQK84.00,"Drehantrieb 5N, 24V, 3Pkt"
SQL36E110,"Drehantrieb 400N, 230V, 3Pkt"
SQL36E160,"Drehantrieb 1200N, 230V, 3Pkt, DN450-600"
SQL36E50F04,"Drehantrieb 40N, 230V, 3-Pkt, DN40-65"
SQL36E50F05,"Drehantrieb 40N, 230V, 3-Pkt, DN80-125"
SQL36E65,"Drehantrieb 100N, 230V, 3Pkt"
SQV91P30,"Antrieb 1100N zu VPF,ACDC24V,3P,0-10V"
SQV91P40,"Antrieb 1100N zu VPF,ACDC24V,3P,0-10V"
SRO-1,Lizenz SRO - zusätzlicher Benutzer
SRO-B,Lizenz SRO - Basis mit 1 Benutzer
SRO-H,Lizenz SRO - pro redundanten Webserver
SSA31,"Stellantrieb 100N, 230V, 3Pkt"
SSA31.04,"Stellantrieb 160N, 230V, 3Pkt,43s"
SSA31.1,"Stellantrieb 100N, 230V, 3Pkt, HS"
SSA61,"Stellantrieb 100N, ACDC24V,0-10V"
SSA61EP,"Stellantrieb 100N, ACDC24V,0-10V, =%"
SSA81,"Stellantrieb 100N, AC24V, 3Pkt"
SSA81.1,"Stellantrieb 100N, AC24V, 3Pkt, HS"
SSA955,"Heizkörper-Regelantrieb, Funk"
SSB31,"Stellantrieb 200N, 230V, 3Pkt"
SSB31.1,"Stellantrieb 200N, 230V, 3Pkt, HS"
SSB61,"Stellantrieb 200N, ACDC24V, 0-10V"
SSB81,"Stellantrieb 200N, AC24V, 3Pkt"
SSB81.1,"Stellantrieb 200N, AC24V, 3Pkt, HS"
SSC31,"Stellantrieb 300N, 230V, 3Pkt"
SSC61,"Stellantrieb 300N, ACDC24V, 0-10V"
SSC61.5,"Stellantrieb 300N, ACDC24V, 0-10V, NS"
SSC81,"Stellantrieb 300N, AC24V, 3Pkt"
SSC-TOUCH-15R,"TOUCH PANEL PC, resistiv"
SSC-TOUCH-2931-10,EINBAU TOUCHPANEL 10.1 resistiv
SSC-TOUCH-2931-10P,EINBAU TOUCHPANEL 10.1 kapazitiv
SSC-TOUCH-2931-15,"Einbau Touchpanel 15, resistiv"
SSC-TOUCH-2931-15P,Einbau Touchpanel 15 kapazitiv
SSC-TOUCH-2931-17,Einbau Touchpanel 17 resistiv
SSC-TOUCH-2931-17P,Einbau Touchpanel 17 kapazitiv
SSP31,"Stellantrieb 105N, 230V, 3Pkt"
SSP61,"Stellantrieb 105N, ACDC24V, 0-10V"
SSP81,"Stellantrieb 105N, AC24V, 3Pkt"
SSP81.04,"Stellantrieb 105N, AC24V, 3Pkt"
ST10,8fach-Steckliste 230V KS+RS
STA23,"Therm. Stellantrieb,AC230V,NC,2P,1m"
STA23/00,"Therm. Stellantr.,AC230V,NC,ohne Kabel"
STA23/50,"Therm. Stellantr.,AC230V,NC,2P,5m"
STA23HD,"Therm. Stellantrieb,AC230V,NC,2P,1m,FBH"
STA63,"Therm. Stellantrieb,AC24V,NC,0-10V"
STA73,"Therm. Stellantrieb,ACDC24V,NC,2P,1m"
STA73/00,"Therm. Stellantr,ACDC24V,NC,2P,ohne Kab"
STA73/50,"Therm. Stellantr.,ACDC24V,NC,2P,5m"
STA73HD,"Therm. Stellantr,ACDC24V,NC,2P,1m,FBH"
STA73PR/00,"Therm Antr,ACDC24V,NC,2P/PDM,//,ohne Kab"
STA73PR/20LD,"Therm Antr,ACDC24V,NC,2P/PDM,//,2m,LED"
STP23,"Therm. Stellantrieb,AC230V,NO,2P,1m"
STP23/00,"Therm. Stellantr.,AC230V,NO,ohne Kabel"
STP23/50,"Therm. Stellantr.,AC230V,NO,2P,5m"
STP63,"Therm. Stellantrieb,AC24V,NO,0-10V"
STP73,"Therm. Stellantrieb,ACDC24V,NO,2P,1m"
STP73/00,"Therm. Stellantr,ACDC24V,NO,2P,ohne Kab"
STP73/50,"Therm. Stellantr.,ACDC24V,NO,2P,5m"
STP73PR/00,"Therm Antr,ACDC24V,NO,2P/PDM,//,ohne Kab"
STP73PR/20LD,"Therm Antr,ACDC24V,NO,2P/PDM,//,2m,LED"
SYNCO-UMBAUSET,Synco Umbauset
SYNCO-UMBAUSET,Synco Umbauset
SYNCO-UMBAUSET,Synco Umbauset
T23-1EPDM10,EPDM Dichtungen 1'' (10 Stk.)
